method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
Partial_Pearson,800,0.15,3,gene_0031,0.5760743321718932,0.15080014539231845,0.059233449477351915,0.09423452901451868,0.11278390884399414
PGAA_linear,800,0.15,3,gene_0041,0.8237514518002323,0.4336692137137851,0.003484320557491289,0.09509160203708424,0.47981786727905273
Partial_Pearson,800,0.15,3,gene_0041,0.8153310104529616,0.43220269525388505,0.013937282229965157,0.15844566473972518,0.12374210357666016
PGAA_linear,800,0.15,5,gene_0020,0.8797909407665505,0.5585979609658243,0.09407665505226481,0.21891295433710295,0.46803808212280273
Partial_Pearson,800,0.15,5,gene_0020,0.8975029036004647,0.5032766355461522,0.09407665505226481,0.19801374631731763,0.19442009925842285
PGAA_linear,800,0.15,5,gene_0066,0.6893147502903602,0.4517794342800346,0.013937282229965157,0.10366091055503296,0.49440884590148926
Partial_Pearson,800,0.15,5,gene_0066,0.7003484320557491,0.45576961817567435,0.0,0.10050727500732337,0.14830899238586426
PGAA_linear,800,0.15,5,gene_0125,0.7436120789779326,0.3324234453869439,0.003484320557491289,0.06028089778071721,0.4889950752258301
Partial_Pearson,800,0.15,5,gene_0125,0.6800232288037167,0.3361042405963006,0.013937282229965157,0.11935853475619529,0.14466094970703125
PGAA_linear,800,0.15,5,gene_0157,0.6896051103368177,0.3451783444323803,0.006968641114982578,0.05853155277971839,0.5902440547943115
Partial_Pearson,800,0.15,5,gene_0157,0.6768292682926829,0.3095275297772662,0.0,0.0424659093280787,0.1486349105834961
PGAA_linear,800,0.15,10,gene_0256,0.7674216027874564,0.49311147005102884,0.013937282229965157,0.06929105612096667,0.5547399520874023
Partial_Pearson,800,0.15,10,gene_0256,0.766260162601626,0.45304068071792286,0.013937282229965157,0.14055079428610445,0.15459609031677246
PGAA_linear,800,0.15,10,gene_0060,0.7665505226480837,0.32093874395598043,0.006968641114982578,0.08560069089690717,0.5720739364624023
Partial_Pearson,800,0.15,10,gene_0060,0.8196864111498258,0.33422110964511637,0.11498257839721254,0.25769232006023157,0.173112154006958
PGAA_linear,800,0.15,10,gene_0284,0.6646341463414633,0.3640967078698927,0.006968641114982578,0.13075371506125438,0.6010251045227051
Partial_Pearson,800,0.15,10,gene_0284,0.7706155632984901,0.21252689063128816,0.024390243902439025,0.11171928760779537,0.12386798858642578
PGAA_linear,800,0.15,10,gene_0038,0.717479674796748,0.3073358239081511,0.013937282229965157,0.12416130930545999,0.49644923210144043
